number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_learning_rate,params_num_epochs,params_weight_decay,state
0,0.7173607748184019,2024-07-12 15:03:59.488924,2024-07-12 15:04:30.354813,0 days 00:00:30.865889,0.1766049329845345,0.0008706892741462319,4,0.001713444869823629,COMPLETE
1,0.7374656981436642,2024-07-12 15:04:30.354813,2024-07-12 15:05:15.098559,0 days 00:00:44.743746,0.3723891970133577,8.493985988696215e-05,6,0.005701885028834479,COMPLETE
2,0.7679338175948346,2024-07-12 15:05:15.099559,2024-07-12 15:05:37.674059,0 days 00:00:22.574500,0.3119548823892018,0.00014690767778697823,3,0.002088811666042406,COMPLETE
3,0.7176674737691686,2024-07-12 15:05:37.674059,2024-07-12 15:06:34.111623,0 days 00:00:56.437564,0.19398035250419104,0.0006905461161238266,7,0.0028014745626315793,COMPLETE
4,0.7200484261501211,2024-07-12 15:06:34.111623,2024-07-12 15:07:19.057299,0 days 00:00:44.945676,0.10714916700615547,0.0008686670497860344,6,0.007911617453883885,COMPLETE
5,0.7832687651331719,2024-07-12 15:07:19.057299,2024-07-12 15:08:26.253796,0 days 00:01:07.196497,0.20317851631430575,0.0003275680435235945,9,0.0019085548424426825,COMPLETE
6,0.7767958030669895,2024-07-12 15:08:26.253796,2024-07-12 15:09:33.438841,0 days 00:01:07.185045,0.44727852069999574,0.00046203568816178024,9,0.008230959478251402,COMPLETE
7,0.7750766747376917,2024-07-12 15:09:33.438841,2024-07-12 15:10:03.581190,0 days 00:00:30.142349,0.1910511014301892,0.00019593182796034318,4,0.002723095586090706,COMPLETE
8,0.7679338175948346,2024-07-12 15:10:03.581190,2024-07-12 15:10:41.185285,0 days 00:00:37.604095,0.2682893515983314,0.00015215056877063314,5,0.007252464476106279,COMPLETE
9,0.7110976594027442,2024-07-12 15:10:41.186285,2024-07-12 15:11:33.563783,0 days 00:00:52.377498,0.2338066210397674,0.0004108656820081819,7,0.007576343798253963,COMPLETE
10,0.7800322841000807,2024-07-12 15:11:33.564785,2024-07-12 15:12:48.620975,0 days 00:01:15.056190,0.4858081955568312,0.00034339387508403323,10,2.4287866957627656e-05,COMPLETE
11,0.6917675544794188,2024-07-12 15:12:48.620975,2024-07-12 15:14:25.365257,0 days 00:01:36.744282,0.49147909324422606,0.0003379426557329098,10,8.732209982085868e-06,COMPLETE
12,0.7286198547215497,2024-07-12 15:14:25.365257,2024-07-12 15:15:32.952707,0 days 00:01:07.587450,0.37610917933281457,0.000620998546713446,9,0.0005605537914343823,COMPLETE
13,0.7153833736884584,2024-07-12 15:15:32.952707,2024-07-12 15:16:47.273702,0 days 00:01:14.320995,0.11275618324344311,0.00030625075061139475,10,0.003896729558971974,COMPLETE
14,0.5,2024-07-12 15:16:47.273702,2024-07-12 15:17:47.036442,0 days 00:00:59.762740,0.3648560838947741,0.0005870363689667445,8,0.004638229468637258,COMPLETE
15,0.5,2024-07-12 15:17:47.037442,2024-07-12 15:18:54.079513,0 days 00:01:07.042071,0.4350847922588933,0.0002758741711116382,9,0.0010250789428848967,COMPLETE
16,0.5,2024-07-12 15:18:54.079513,2024-07-12 15:19:54.074906,0 days 00:00:59.995393,0.2898301385185311,2.274000176186148e-05,8,0.009907995500547306,COMPLETE
17,0.5,2024-07-12 15:19:54.074906,2024-07-12 15:21:08.594205,0 days 00:01:14.519299,0.3241552433717695,0.0005106819279340751,10,0.0035254443571285723,COMPLETE
18,0.5286602098466505,2024-07-12 15:21:08.594205,2024-07-12 15:22:08.407129,0 days 00:00:59.812924,0.2357610546756017,0.0003814886315527431,8,0.0012548524115088095,COMPLETE
19,0.523042776432607,2024-07-12 15:22:08.408129,2024-07-12 15:23:15.579243,0 days 00:01:07.171114,0.14784986969304498,0.00023075605978527535,9,0.005847415888395558,COMPLETE
